dateAlertCreated,num_alerts
1/6/24,304
12/28/23,12
12/19/23,2
12/13/23,76
12/7/23,65512
12/4/23,12
11/30/23,1
11/29/23,9
11/14/23,6
11/10/23,8
11/8/23,5
11/7/23,2
11/3/23,1
11/2/23,8
10/27/23,2
10/26/23,2
10/25/23,2
10/24/23,2
10/22/23,115
10/7/23,2
10/2/23,4
9/22/23,16
9/19/23,16
9/1/23,2
8/24/23,2
8/23/23,628
8/10/23,1
7/5/23,1
6/27/23,1
6/23/23,8
6/22/23,5
6/15/23,1
6/14/23,8
6/13/23,9
6/9/23,414
6/8/23,6
6/6/23,1
5/26/23,10
5/5/23,3
5/3/23,1
4/27/23,1
4/25/23,17
4/19/23,54
3/22/23,7
3/15/23,13
2/12/23,4
2/9/23,1
1/20/23,1
12/19/22,14865
12/17/22,20320
12/16/22,10892
12/14/22,6
12/5/22,18
12/1/22,12991
11/30/22,20353
11/29/22,1
11/22/22,4
11/16/22,5
11/10/22,76
11/4/22,1
10/28/22,1
10/27/22,66
10/25/22,4
10/22/22,1
,3
,146925
